date_time,country,city,state,shape,summary,lat,lng,location
12/21/16 19:15,USA,Waynesboro,VA,Sphere,Bright round object hovering in sky.,38.0652286,-78.90588756,POINT(-78.9058875592407 38.0652286)
12/21/16 0:00,USA,Louisville,KY,Unknown,"Multiple craft ascending from north of Shelbyville road, very bright and ",38.2542376,-85.7594069,POINT(-85.7594069 38.2542376)
,,,,,very quiet in comparison to passenger planes seen in the sky a,,,
12/19/16 10:30,USA,Anchorage,AK,Circle,4 red silent crafts flying from North to South with no flashing airplane ,61.2163129,-149.8948522,POINT(-149.8948522 61.2163129)
,,,,,lights. ((anonymous report)),,,
9/12/16 19:30,USA,Lancing,TN,Diamond,I saw a diamond shaped object with two bright lights that hovered in the ,36.1206306,-84.6538307,POINT(-84.6538307 36.1206306)
,,,,,"air, with no sound, even during movement.",,,
7/10/16 0:00,USA,Highway I-40 Truck parking,AR,Unknown,Very bright flying object there ten second then gone instantly,35.0840313,-92.4174169,POINT(-92.4174169 35.0840313)
6/10/16 0:00,USA,Columbus,OH,Triangle,In the S sky a blk triangular craft flew R to L then switched dir. and ,39.9622601,-83.0007064,POINT(-83.0007064 39.9622601)
,,,,,darted S and out of view… ((anonymous report)),,,
6/10/16 23:00,USA,Antlers,OK,Light,Seemed like just another star but then looked like a spotlight rolling and ,34.231212,-95.6202475,POINT(-95.6202475 34.231212)
,,,,,was extremely Bright...then went back to a twinkle.,,,
6/10/16 21:50,USA,Union,NJ,Oval,"Saw a red oval light in the sky over my house at 10:52pm on 10/6/16, it ",40.6652251,-74.3045276,POINT(-74.3045276 40.6652251)
,,,,,"looked like it was going to collid with a plane, in an instant",,,
6/10/16 21:00,USA,Whitefish,MT,Fireball,"((HOAX??)) Amber orb floating east of Whitefish Lake, moving towards ",48.4107966,-114.3346264,POINT(-114.3346264 48.4107966)
,,,,,backroad to blue moon. ((anonymous report)),,,
6/10/16 20:24,USA,El Cajon,CA,Unknown,I noticed two lights traveling from West to east. Leading light was ,32.7947731,-116.9625268,POINT(-116.9625268 32.7947731)
,,,,,"constant green(no flashing), trailing light was an intermittently f",,,
6/10/16 20:00,USA,Saylorsburg,PA,Fireball,"Approx. 4 seconds, a bright thick streak of light in sky & is low. bottom ",40.8952667,-75.3233922,POINT(-75.3233922 40.8952667)
,,,,,tip explodes bright white light & bits burst out & then gone,,,
6/10/16 20:00,USA,Lower Burrell,PA,Triangle,"Low, slow and silent unidentifiable flying object.",40.5882821,-79.7298186,POINT(-79.7298186 40.5882821)
6/10/16 14:30,USA,Columbus,GA,Circle,"Round, shiny objects flying in formation moved in ways not consistent with ",32.4609764,-84.9877093,POINT(-84.9877093 32.4609764)
,,,,,"aircraft, balloons or anything else.",,,
6/10/16 9:15,USA,South Berwick,ME,Light,"the 1st object was flashing red, white, and green light. It was not moving ",43.2345292,-70.8095017,POINT(-70.8095017 43.2345292)
,,,,,"at all. It was near Mt, Aggementicus. It had another to the",,,
9/12/16 19:00,USA,Tewksbury,MA,Triangle,"On 495 N, caught sight of two unusually bright lights as I was sitting in ",42.6106479,-71.2342247,POINT(-71.2342247 42.6106479)
,,,,,the front passenger seat on the ride home. Kept my eyes fixa,,,
6/10/16 5:45,USA,Torrington,CT,Triangle,"A triangular shaped object flying over Torrington, CT.",37.5800421,-122.0353035,POINT(-122.0353035 37.5800421)
6/10/16 4:00,USA,Grandview,WA,Circle,Flash blue and pink. Hovered up and down. My daughter said she saw ,46.2509653,-119.9017048,POINT(-119.9017048 46.2509653)
,,,,,something outside her window. ((anonymous report)),,,
,,,,,,,,
,,,,,Its,,,
6/10/16 1:07,CANADA,Ottawa,ON,Flash,"Faint tiny red flashing star gets bigger, then moves from West to North, ",45.4210328,-75.6900218,POINT(-75.6900218 45.4210328)
,,,,,"then flies directly over city of Ottawa, ON.",,,
6/10/16 0:00,USA,Slate Hill,NY,Sphere,"Hovering UFO is observed multiple times in Slate Hill, NY. ((NUFORC Note: ",41.3909274,-74.476547,POINT(-74.476547 41.3909274)
,,,,,"We suspect a ""twinkling"" star. PD))",,,
5/10/16 0:00,USA,Poland,ME,Sphere,Round bright white lights followed by orange double paneled lights in the ,44.060946,-70.3942109,POINT(-70.3942109 44.060946)
,,,,,"same spot! Then, flashing smaller white light directed at me",,,
5/10/16 22:35,USA,Lake Elmo,MN,Circle,Teal colored light ring sighted on a low altitude straight flight path for ,44.9957998,-92.8793767,POINT(-92.8793767 44.9957998)
,,,,,"30 plus seconds east of St. Paul, MN.",,,
5/10/16 22:30,USA,Howell,NJ,Cigar,Bar shaped ufo with three bright lights across.,40.1659101,-74.1911587,POINT(-74.1911587 40.1659101)
5/10/16 22:20,USA,Ticonderoga,NY,Rectangle,No noise at all.,43.848889,-73.4233469,POINT(-73.4233469 43.848889)
5/10/16 21:25,USA,Port Richey,FL,Disk,Erratic moments green and red lights.,28.2716755,-82.719545,POINT(-82.719545 28.2716755)
5/10/16 20:00,USA,Florence,AL,Diamond,My wife and I witnessed a ufo in the west sky.,29.425683,-98.4674859,POINT(-98.4674859 29.425683)
,,,,,,,,
,,,,,A lady stopped her car and said she saw it The night before. We watched for ,,,
,,,,,20 minute,,,
